Driver ID,First Name,Last Name,Address,Zip Code,Phone,City ID
30,Maria,Craft,3522 Mimosa Ave,38111,(901) 323-0258,682
29,Kristie,Sims,2877 Laredo St,38127,(901) 534-4388,682
28,Gale,Oneal,1000 Rayner St,38114,(901) 726-6205,682
27,Holger,Nohr,572 Delta Rd,38109,(901) 789-7564,682
25,Leszek,Kieltyka,4089 Persimmon View Cv,38135,(901) 386-9194,682
24,Adel,Al-Alawi,749 E Mckellar Ave,38106,(901) 947-4433,682
23,Zachery,Hicks,3649 Park Lake Dr,38118,(901) 362-6674,682
22,Roger,McHaney,1839 S Orleans St,38106,(901) 948-1043,682
21,Andrea,Simons,3574 Oak Limb Cv,38135,(901) 384-0984,682
20,Sue,Newell,268 Richmond Ave,38106,(901) 774-6569,682
26,Alina,Chircu,842 E Trigg Ave,38106,,682
